date,vw_index
20151209,6141.131
20151210,6148.032
20151211,6029.046
20151214,6033.349
20151215,6110.437
20151216,6201.985
20151217,6106.257
20151218,6013.637
20151221,6052.271
20151222,6112.519
20151223,6209.037
20151224,6199.922
20151228,6173.983
20151229,6228.824
20151230,6184.649
20151231,6141.52
20160104,6061.369
20160105,6080.083
20160106,5988.521
20160107,5856.126
20160108,5788.475
20160111,5776.659
20160112,5803.789
20160113,5668.493
20160114,5749.951
20160115,5636.422
20160119,5622.732
20160120,5541.283
20160121,5587.156
20160122,5703.771
20160125,5603.981
20160126,5705.57
20160127,5669.313
20160128,5689.229
20160129,5834.373
20160201,5828.53
20160202,5714.22
20160203,5765.147
20160204,5792.047
20160205,5703.617
20160208,5605.629
20160209,5591.078
20160210,5586.1
20160211,5498.766
20160212,5622.027
20160216,5713.202
20160217,5810.517
20160218,5797.995
20160219,5788.248
20160222,5872.118
20160223,5807.748
20160224,5828.511
20160225,5898.585
20160226,5898.991
20160229,5864.321
20160301,5984.126
20160302,6023.69
